iter,mu,loss,loss_f,loss_bc,Loss_mu
1.0,0.20000000298023224,0.18000000715255737,1.1913983826161711e-06,3.636754786207064e-11,0.18000000715255737
2.0,0.1002311185002327,1756.7001953125,2.9636294841766357,1.2636793833564752e-09,0.08023111522197723
3.0,0.11020767688751221,1152.6195068359375,2.4005513191223145,9.393233968424397e-10,0.09020768105983734
4.0,0.11297069489955902,1019.2157592773438,2.2573466300964355,6.712931508445763e-07,0.09297069907188416
5.0,0.11595741659402847,889.7623901367188,2.10910701751709,5.699929715774488e-06,0.09595741331577301
6.0,0.11891399323940277,775.063232421875,1.9684566259384155,2.12114755413495e-05,0.0989139974117279
7.0,0.1218341514468193,673.5609741210938,1.8350192308425903,5.500265979208052e-05,0.10183414816856384
8.0,0.12470400333404541,584.1015014648438,1.7087959051132202,0.00011559893027879298,0.10470400750637054
9.0,0.12751078605651855,505.5637512207031,1.5897421836853027,0.000211418722756207,0.10751079022884369
10.0,0.13024310767650604,436.87152099609375,1.477770209312439,0.00035002382355742157,0.11024311184883118
11.0,0.1328911930322647,377.00189208984375,1.372749924659729,0.0005375879118219018,0.11289119720458984
12.0,0.13544729351997375,324.9860534667969,1.274499535560608,0.0007785045308992267,0.11544729769229889
13.0,0.13790558278560638,279.920654296875,1.182796835899353,0.001075303996913135,0.11790558695793152
14.0,0.14026221632957458,240.97024536132812,1.0973799228668213,0.0014286462683230639,0.12026222050189972
15.0,0.1425151228904724,207.37245178222656,1.0179589986801147,0.0018375006038695574,0.12251512706279755
16.0,0.14466387033462524,178.437255859375,0.9442200064659119,0.0022994601167738438,0.12466387450695038
17.0,0.14670929312705994,153.54849243164062,0.8758395314216614,0.002810913836583495,0.12670929729938507
18.0,0.14865337312221527,132.158935546875,0.8124866485595703,0.0033674794249236584,0.1286533772945404
19.0,0.15049892663955688,113.78680419921875,0.7538313269615173,0.003964291885495186,0.13049893081188202
20.0,0.15224933624267578,98.01158905029297,0.6995525360107422,0.004596115555614233,0.13224934041500092
21.0,0.15390844643115997,84.4673080444336,0.6493386626243591,0.005257727112621069,0.1339084506034851
22.0,0.15548035502433777,72.8373031616211,0.6028925180435181,0.005943877622485161,0.1354803591966629
23.0,0.15696929395198822,62.848480224609375,0.5599324107170105,0.006649677641689777,0.13696929812431335
24.0,0.15837953984737396,54.26583480834961,0.5201926827430725,0.007370373234152794,0.1383795440196991
25.0,0.15971526503562927,46.88823699951172,0.4834274351596832,0.008101608604192734,0.1397152692079544
26.0,0.16098061203956604,40.5428352355957,0.4494052529335022,0.00883945170789957,0.14098061621189117
27.0,0.16217955946922302,35.081974029541016,0.4179127514362335,0.009580273181200027,0.14217956364154816
28.0,0.16331589221954346,30.379423141479492,0.3887530565261841,0.01032092235982418,0.1433158963918686
29.0,0.16439327597618103,26.327056884765625,0.3617430329322815,0.011058492586016655,0.14439328014850616
30.0,0.16541510820388794,22.83275032043457,0.33671608567237854,0.011790544725954533,0.14541511237621307
31.0,0.16638463735580444,19.817567825317383,0.313517689704895,0.012514849193394184,0.14638464152812958
32.0,0.16730494797229767,17.213960647583008,0.29200536012649536,0.013229592703282833,0.1473049521446228
33.0,0.16817888617515564,14.964280128479004,0.27204933762550354,0.013933112844824791,0.14817889034748077
34.0,0.16900913417339325,13.019143104553223,0.2535301744937897,0.01462407037615776,0.14900913834571838
35.0,0.16979822516441345,11.33617877960205,0.23633745312690735,0.015301337465643883,0.1497982293367386
36.0,0.17054851353168488,9.879145622253418,0.22037051618099213,0.01596399024128914,0.15054851770401
37.0,0.17126218974590302,8.616954803466797,0.2055368721485138,0.016611188650131226,0.15126219391822815
38.0,0.171941339969635,7.522853851318359,0.19175074994564056,0.0172423068434,0.15194134414196014
39.0,0.17258785665035248,6.573958873748779,0.17893454432487488,0.017856847494840622,0.1525878608226776
40.0,0.17320357263088226,5.750494003295898,0.16701550781726837,0.01845431886613369,0.1532035768032074
41.0,0.17379014194011688,5.035531997680664,0.15592798590660095,0.01903451606631279,0.15379014611244202
42.0,0.17434915900230408,4.414427757263184,0.14561046659946442,0.019597038626670837,0.1543491631746292
43.0,0.17488208413124084,3.8746023178100586,0.13600695133209229,0.02014177292585373,0.15488208830356598
44.0,0.1753903031349182,3.4051873683929443,0.127065509557724,0.020668596029281616,0.15539030730724335
45.0,0.17587509751319885,2.996819019317627,0.11873850226402283,0.02117721177637577,0.155875101685524
46.0,0.17633767426013947,2.6413984298706055,0.11098182946443558,0.021667595952749252,0.1563376784324646
47.0,0.17677918076515198,2.331912040710449,0.10375434905290604,0.02213967964053154,0.1567791849374771
48.0,0.17720066010951996,2.0623281002044678,0.09701891988515854,0.02259339764714241,0.1572006642818451
49.0,0.1776030957698822,1.8274083137512207,0.09074074774980545,0.023028509691357613,0.15760309994220734
50.0,0.17798744142055511,1.6226046085357666,0.08488734066486359,0.023445025086402893,0.15798744559288025
51.0,0.17835456132888794,1.443996787071228,0.07942919433116913,0.02384277805685997,0.15835456550121307
52.0,0.17870528995990753,1.2881677150726318,0.07433844357728958,0.0242215096950531,0.15870529413223267
53.0,0.17904037237167358,1.1521741151809692,0.06958996504545212,0.02458115667104721,0.15904037654399872
54.0,0.1793605536222458,1.0334376096725464,0.0651596337556839,0.024921400472521782,0.15936055779457092
55.0,0.17966650426387787,0.9297397136688232,0.061025865375995636,0.02524196170270443,0.159666508436203
56.0,0.17995887994766235,0.8391364812850952,0.05716795101761818,0.025542670860886574,0.1599588841199875
57.0,0.180238276720047,0.7599478363990784,0.053567077964544296,0.02582317590713501,0.16023828089237213
