iter,Loss,Loss_f,loss_BC
159,0.120773464,0.000178847,0.120594621
160,0.120760888,0.000178864,0.120582022
161,0.120746799,0.000178925,0.120567873
162,0.120732367,0.000178861,0.120553508
163,0.12071646,0.000179613,0.120536849
164,0.12070173,0.000179858,0.120521873
165,0.12068855,0.000181188,0.12050736
166,0.120675042,0.000181586,0.120493457
167,0.120662995,0.00018307,0.120479926
168,0.120650917,0.000183781,0.120467134
169,0.120639749,0.000184499,0.12045525
170,0.120628871,0.00018499,0.120443881
171,0.120618358,0.000184979,0.120433383
172,0.120608374,0.0001851,0.120423272
173,0.12059857,0.000184562,0.120414011
174,0.120589189,0.000184331,0.120404862
175,0.120579936,0.000183261,0.120396674
176,0.12057063,0.00018307,0.120387562
177,0.120560542,0.000181239,0.120379299
178,0.12055175,0.000180639,0.120371111
179,0.120544635,0.000180105,0.120364532
180,0.120537609,0.000179261,0.120358348
181,0.120530397,0.000178682,0.120351717
182,0.120524228,0.000178035,0.120346196
183,0.120518126,0.000177254,0.120340869
184,0.120511986,0.000176507,0.120335482
185,0.120505594,0.000175521,0.120330073
186,0.120498784,0.000174694,0.12032409
187,0.120491385,0.000173554,0.120317832
188,0.120483026,0.000172789,0.120310239
189,0.12047524,0.000171911,0.120303333
190,0.120467849,0.000171118,0.120296732
191,0.120460182,0.00017035,0.120289832
192,0.120452397,0.000169472,0.120282926
193,0.120444626,0.00016872,0.120275907
194,0.120436899,0.000167911,0.120268986
195,0.120429315,0.000167209,0.120262109
196,0.120421916,0.00016654,0.120255373
197,0.120414704,0.000165917,0.120248787
198,0.12040773,0.000165407,0.12024232
199,0.120400988,0.000164874,0.120236114
200,0.120394483,0.000164497,0.120229989
201,0.120388217,0.00016405,0.12022417
202,0.12038219,0.000163744,0.120218448
203,0.120376386,0.000163379,0.120213009
204,0.120370761,0.000163065,0.120207697
205,0.120365344,0.000162788,0.120202556
206,0.120360062,0.000162398,0.120197661
207,0.120354928,0.000162208,0.120192721
208,0.120349981,0.000161721,0.120188259
209,0.120345213,0.000161541,0.120183669
210,0.120340638,0.000160998,0.120179638
211,0.120336205,0.000160721,0.120175481
212,0.120331876,0.000160124,0.120171756
213,0.120327622,0.000159703,0.120167919
214,0.120323367,0.000159005,0.120164365
215,0.120319143,0.000158417,0.120160729
216,0.120314881,0.00015757,0.120157309
217,0.120310567,0.000156801,0.12015377
218,0.120306224,0.000155765,0.120150462
219,0.12030185,0.000154811,0.120147042
220,0.120297417,0.000153562,0.120143853
221,0.120292991,0.000152438,0.120140553
222,0.120288484,0.00015097,0.120137513
223,0.120284013,0.0001497,0.120134316
224,0.120279491,0.000148039,0.120131455
225,0.12027505,0.000146633,0.120128416
226,0.120270528,0.000144821,0.120125711
227,0.120266065,0.000143268,0.120122798
228,0.120261542,0.000141318,0.120120227
229,0.120257065,0.0001396,0.120117463
230,0.120252669,0.000137614,0.120115057
231,0.120248429,0.000135808,0.12011262
232,0.120244309,0.000133855,0.120110452
233,0.120240368,0.000132197,0.120108172
234,0.120236471,0.000130111,0.120106362
235,0.120232679,0.000128798,0.120103881
236,0.120229214,0.000126936,0.120102279
237,0.120226465,0.000125834,0.120100632
238,0.120223999,0.000124653,0.120099343
239,0.120221682,0.000123647,0.120098032
240,0.120219402,0.000122619,0.12009678
241,0.12021713,0.000121615,0.120095514
242,0.120214812,0.000120639,0.120094173
243,0.120212473,0.00011961,0.120092861
244,0.120210156,0.000118697,0.120091461
245,0.120207809,0.0001177,0.120090112
246,0.120205544,0.00011685,0.120088696
247,0.120203204,0.000115856,0.120087348
248,0.12020082,0.000115037,0.120085783
249,0.120198295,0.000113932,0.12008436
250,0.120195709,0.000113108,0.120082602
251,0.12019331,0.000112169,0.120081142
252,0.120191015,0.000111342,0.120079674
253,0.120188765,0.000110515,0.120078251
254,0.120186478,0.000109635,0.120076843
255,0.120184176,0.000108784,0.12007539
256,0.120181829,0.000107835,0.120073996
257,0.120179445,0.00010692,0.120072521
258,0.120176934,0.000105881,0.120071054
259,0.120174199,0.000104705,0.120069496
260,0.120171472,0.000103614,0.120067857
261,0.120169118,0.000102493,0.120066628
262,0.120166816,0.000101481,0.120065339
263,0.120164514,0.000100256,0.120064259
264,0.120162152,9.91E-05,0.120063059
