iter,mu,loss,loss_f,loss_bc,Loss_mu
1.0,0.20000000298023224,0.18000000715255737,6.36129584563605e-07,1.2967404927621828e-11,0.18000000715255737
2.0,0.10010724514722824,2917.642578125,1.70808744430542,1.0631140412442619e-10,0.08010724186897278
3.0,0.1100962683558464,1914.315185546875,1.383555293083191,7.203482255135896e-11,0.09009626507759094
4.0,0.11286365240812302,1694.3009033203125,1.3016175031661987,1.4530054670558457e-07,0.09286364912986755
5.0,0.11584772914648056,1482.7734375,1.2176525592803955,1.2519699339463841e-06,0.0958477258682251
6.0,0.11880149692296982,1296.6807861328125,1.138675570487976,4.704133971245028e-06,0.09880149364471436
7.0,0.12172649055719376,1132.7613525390625,1.0642648935317993,1.2332818187132943e-05,0.1017264872789383
8.0,0.12461617588996887,988.6153564453125,0.9942387938499451,2.625840534165036e-05,0.104616180062294
9.0,0.1274646371603012,862.0499877929688,0.9284085631370544,4.8760735808173195e-05,0.10746464133262634
10.0,0.13026633858680725,751.0855102539062,0.8665882349014282,8.214332046918571e-05,0.11026634275913239
11.0,0.1330162137746811,653.9352416992188,0.808592677116394,0.00012861438153777272,0.11301621794700623
12.0,0.1357097178697586,568.992431640625,0.7542390823364258,0.00019019708270207047,0.11570972204208374
13.0,0.13834288716316223,494.8153991699219,0.703346848487854,0.0002686400548554957,0.11834289133548737
14.0,0.14091242849826813,430.11114501953125,0.6557361483573914,0.0003653934400063008,0.12091243267059326
15.0,0.14341557025909424,373.72906494140625,0.6112325191497803,0.0004815399879589677,0.12341557443141937
16.0,0.14585022628307343,324.6418762207031,0.5696625709533691,0.0006178233306854963,0.12585023045539856
17.0,0.14821481704711914,281.9401550292969,0.5308589339256287,0.0007746046758256853,0.12821482121944427
18.0,0.150508314371109,244.81890869140625,0.4946589469909668,0.0009519443847239017,0.13050831854343414
19.0,0.15273022651672363,212.5669708251953,0.46090465784072876,0.001149553805589676,0.13273023068904877
20.0,0.15488043427467346,184.5592041015625,0.42944493889808655,0.00136690610088408,0.1348804384469986
21.0,0.15695923566818237,160.24659729003906,0.4001350402832031,0.0016032014973461628,0.1369592398405075
22.0,0.1589672863483429,139.1475372314453,0.37283605337142944,0.001857455587014556,0.13896729052066803
23.0,0.16090551018714905,120.84126281738281,0.3474165201187134,0.002128543332219124,0.14090551435947418
24.0,0.16277503967285156,104.96050262451172,0.32375192642211914,0.0024151811376214027,0.1427750438451767
25.0,0.16457726061344147,91.18489074707031,0.301724374294281,0.0027160411700606346,0.1445772647857666
26.0,0.16631369292736053,79.23558807373047,0.28122276067733765,0.0030296670738607645,0.14631369709968567
27.0,0.1679859608411789,68.87010192871094,0.2621426284313202,0.0033546299673616886,0.14798596501350403
28.0,0.16959579288959503,59.87788009643555,0.24438616633415222,0.0036894725635647774,0.14959579706192017
29.0,0.1711449921131134,52.07611083984375,0.2278616577386856,0.00403275853022933,0.15114499628543854
30.0,0.17263540625572205,45.30602264404297,0.21248295903205872,0.004383069463074207,0.15263541042804718
31.0,0.1740688681602478,39.430274963378906,0.19817030429840088,0.004739019554108381,0.15406887233257294
32.0,0.1754472553730011,34.329620361328125,0.18484878540039062,0.0050992825999855995,0.15544725954532623
33.0,0.17677243053913116,29.900800704956055,0.17244873940944672,0.00546262226998806,0.1567724347114563
34.0,0.17804621160030365,26.054359436035156,0.16090521216392517,0.005827773362398148,0.15804621577262878
