iter,Loss,Loss_f,loss_BC
1.0,1.4838062524795532,1.4837913513183594,1.4887460565660149e-05
2.0,1.439521312713623,1.439446210861206,7.510327850468457e-05
3.0,1.4197918176651,1.4197789430618286,1.2884677744295914e-05
4.0,1.404058575630188,1.4040238857269287,3.468660725047812e-05
5.0,1.3910267353057861,1.3909205198287964,0.00010619049135129899
6.0,1.3802196979522705,1.3800170421600342,0.0002026217698585242
7.0,1.3713114261627197,1.3709782361984253,0.0003331981715746224
8.0,1.3641424179077148,1.3636492490768433,0.0004931592848151922
9.0,1.3585805892944336,1.3579000234603882,0.0006805260200053453
10.0,1.354356288909912,1.3534644842147827,0.0008918122621253133
11.0,1.35099458694458,1.349853754043579,0.0011408356949687004
12.0,1.347855567932129,1.3463685512542725,0.0014870651066303253
13.0,1.3439816236495972,1.3418694734573364,0.002112140879034996
14.0,1.3372527360916138,1.3335636854171753,0.0036890876945108175
15.0,1.3285452127456665,1.3217626810073853,0.006782557815313339
16.0,1.3261054754257202,1.3187450170516968,0.007360502611845732
17.0,1.32328200340271,1.3156253099441528,0.0076566459611058235
18.0,1.318739652633667,1.3104251623153687,0.008314457722008228
19.0,1.3135088682174683,1.3047070503234863,0.00880187563598156
20.0,1.3085366487503052,1.299270510673523,0.009266187436878681
21.0,1.3035541772842407,1.294861912727356,0.008692268282175064
22.0,1.2984004020690918,1.2888224124908447,0.009577933698892593
23.0,1.2933483123779297,1.2846943140029907,0.008654029108583927
24.0,1.2892637252807617,1.2805639505386353,0.008699718862771988
25.0,1.284818410873413,1.2766176462173462,0.008200738579034805
26.0,1.2796111106872559,1.2714474201202393,0.008163697086274624
27.0,1.2728254795074463,1.264870524406433,0.007954899221658707
28.0,1.2616891860961914,1.252960205078125,0.008728958666324615
29.0,1.2184548377990723,1.2029145956039429,0.01554029993712902
30.0,1.1604344844818115,1.1353185176849365,0.025116026401519775
31.0,5.057225704193115,4.937349319458008,0.11987660825252533
32.0,3.5498127937316895,3.4877376556396484,0.062075067311525345
33.0,3.261164426803589,3.21235728263855,0.04880722984671593
34.0,2.9768879413604736,2.9398913383483887,0.03699667751789093
35.0,2.730079412460327,2.70145845413208,0.028620991855859756
36.0,2.5183475017547607,2.495180606842041,0.02316693775355816
37.0,2.337183952331543,2.317254066467285,0.01992977038025856
38.0,2.1821300983428955,2.163817882537842,0.018312320113182068
39.0,2.049595832824707,2.031731367111206,0.01786438561975956
40.0,1.9370263814926147,1.9187837839126587,0.018242619931697845
41.0,1.8426847457885742,1.8235267400741577,0.019158003851771355
42.0,1.7648718357086182,1.7445255517959595,0.020346300676465034
43.0,1.701087474822998,1.6795026063919067,0.021584853529930115
44.0,1.6479209661483765,1.6251893043518066,0.022731713950634003
45.0,1.6018697023391724,1.5781348943710327,0.02373485453426838
46.0,1.5602028369903564,1.5355979204177856,0.02460497058928013
47.0,1.5213377475738525,1.4959551095962524,0.025382623076438904
48.0,1.484720230102539,1.458604335784912,0.02611595019698143
49.0,1.4504079818725586,1.4235628843307495,0.026845043525099754
50.0,1.4186358451843262,1.391042947769165,0.027592936530709267
51.0,1.389549970626831,1.3611853122711182,0.028364703059196472
52.0,1.3631198406219482,1.3339661359786987,0.029153689742088318
53.0,1.3391830921173096,1.3092342615127563,0.02994886413216591
54.0,1.317491888999939,1.286751389503479,0.03074052184820175
55.0,1.2977521419525146,1.2662280797958374,0.031524039804935455
56.0,1.2796372175216675,1.2473357915878296,0.03230147063732147
57.0,1.262771487236023,1.2296874523162842,0.03308408334851265
58.0,1.246687412261963,1.212790846824646,0.03389658033847809
59.0,1.2306771278381348,1.1958870887756348,0.034790050238370895
60.0,1.2133893966674805,1.1775085926055908,0.035880833864212036
61.0,1.1911158561706543,1.1535942554473877,0.037521615624427795
62.0,1.1440746784210205,1.1023077964782715,0.04176683351397514
63.0,2.005126714706421,1.8292851448059082,0.1758415400981903
64.0,1.9424203634262085,1.7789421081542969,0.16347821056842804
65.0,1.7528252601623535,1.6161696910858154,0.13665562868118286
66.0,1.4033730030059814,1.2974090576171875,0.10596393048763275
67.0,1.4029521942138672,1.3873836994171143,0.015568464063107967
68.0,1.3171279430389404,1.2992172241210938,0.017910689115524292
69.0,1.1244548559188843,1.0927797555923462,0.0316750705242157
70.0,0.9974602460861206,0.9475852251052856,0.04987504333257675
71.0,0.9859293699264526,0.9330307245254517,0.052898671478033066
72.0,0.9743989706039429,0.917822539806366,0.056576404720544815
73.0,0.9636131525039673,0.9028390049934387,0.06077411770820618
74.0,0.954180121421814,0.8889438509941101,0.06523626297712326
75.0,0.9460702538490295,0.876227617263794,0.06984265148639679
76.0,0.9390865564346313,0.864549458026886,0.07453708350658417
77.0,0.9330152273178101,0.8537184596061707,0.07929675281047821
78.0,0.9276655316352844,0.8435457348823547,0.08411981910467148
79.0,0.9228771924972534,0.8338586688041687,0.08901850879192352
80.0,0.9185166954994202,0.8245005011558533,0.09401620179414749
81.0,0.9144728183746338,0.8153285980224609,0.09914423525333405
82.0,0.9106510877609253,0.8062090873718262,0.10444202274084091
83.0,0.9069710969924927,0.7970169186592102,0.10995418578386307
84.0,0.9033619165420532,0.7876330018043518,0.11572891473770142
85.0,0.8997611999511719,0.777944028377533,0.1218172013759613
86.0,0.8961126804351807,0.7678458094596863,0.12826687097549438
87.0,0.8923656940460205,0.7572461366653442,0.13511958718299866
88.0,0.8884751796722412,0.746070921421051,0.14240425825119019
89.0,0.8844012022018433,0.7342727184295654,0.15012848377227783
90.0,0.8801082372665405,0.7218363285064697,0.1582719087600708
