iter,mu,Loss,Loss_f,Loss_BC,Loss_mu
1.0,0.20000000298023224,0.19800063967704773,6.36129584563605e-07,1.2967404927621828e-11,0.1979999989271164
2.0,0.10003357380628586,1.8085263967514038,1.7104928493499756,3.326938724512729e-11,0.09803357720375061
3.0,0.10959985852241516,1.5021759271621704,1.3945757150650024,4.1516432247590274e-07,0.10759986191987991
4.0,0.11887656897306442,1.2468454837799072,1.129967451095581,1.4763370472792303e-06,0.11687657237052917
5.0,0.12797963619232178,1.0293278694152832,0.9033233523368835,2.4928542188717984e-05,0.12597963213920593
6.0,0.13658690452575684,0.8496028184890747,0.7149139046669006,0.00010203848069068044,0.134586900472641
7.0,0.14443635940551758,0.7053592205047607,0.5626718401908875,0.0002510789781808853,0.14243635535240173
8.0,0.15138114988803864,0.5921862721443176,0.4423377215862274,0.0004674230294767767,0.1493811458349228
9.0,0.15738989412784576,0.5046298503875732,0.34851157665252686,0.0007283593295142055,0.15538989007472992
10.0,0.1625123769044876,0.43728965520858765,0.2757730484008789,0.001004260266199708,0.16051237285137177
11.0,0.16683931648731232,0.38548481464385986,0.21937783062458038,0.0012676524929702282,0.16483931243419647
12.0,0.17047350108623505,0.34545913338661194,0.1754879653453827,0.001497673918493092,0.1684734970331192
13.0,0.17351378500461578,0.3143281936645508,0.1411333829164505,0.0016810199012979865,0.17151378095149994
14.0,0.17604827880859375,0.2899249792098999,0.11406564712524414,0.0018110743258148432,0.1740482747554779
15.0,0.1781526654958725,0.27063536643981934,0.09259635955095291,0.001886363374069333,0.17615266144275665
16.0,0.1798907220363617,0.2552584409713745,0.0754585936665535,0.0019091442227363586,0.17789071798324585
17.0,0.18131573498249054,0.24289816617965698,0.061698321253061295,0.001884115394204855,0.1793157309293747
18.0,0.1824720948934555,0.23288202285766602,0.05059247836470604,0.0018174489960074425,0.18047209084033966
19.0,0.18339680135250092,0.22470158338546753,0.04158871993422508,0.0017160720890387893,0.18139679729938507
20.0,0.18412074446678162,0.21797038614749908,0.03426244854927063,0.001587194623425603,0.18212074041366577
21.0,0.18466980755329132,0.212391659617424,0.02828385680913925,0.00143800291698426,0.18266980350017548
22.0,0.18506577610969543,0.20773625373840332,0.023395130410790443,0.0012753583723679185,0.1830657720565796
23.0,0.18532703816890717,0.20382586121559143,0.01939302496612072,0.0011057938681915402,0.18332703411579132
24.0,0.18546922504901886,0.20052076876163483,0.016116194427013397,0.000935358228161931,0.18346922099590302
25.0,0.1855057179927826,0.19771058857440948,0.01343526877462864,0.0007696003885939717,0.18350571393966675
26.0,0.1854480355978012,0.19530801475048065,0.011246375739574432,0.0006136142183095217,0.18344803154468536
27.0,0.18530619144439697,0.19324295222759247,0.009464852511882782,0.00047191607882268727,0.18330618739128113
28.0,0.18508902192115784,0.19145941734313965,0.00802178680896759,0.0003486135392449796,0.183089017868042
29.0,0.18480437994003296,0.18991191685199738,0.0068603092804551125,0.00024723337264731526,0.18280437588691711
30.0,0.184459388256073,0.18856345117092133,0.005933248437941074,0.0001708160270936787,0.18245938420295715
31.0,0.18406060338020325,0.18738380074501038,0.005201329942792654,0.00012187704851385206,0.1820605993270874
32.0,0.183614119887352,0.1863478571176529,0.004631392657756805,0.00010235293302685022,0.18161411583423615
33.0,0.18312565982341766,0.18543478846549988,0.004195517394691706,0.00011361088400008157,0.18112565577030182
34.0,0.18260058760643005,0.18462669849395752,0.003869671141728759,0.00015644702943973243,0.1806005835533142
35.0,0.18204395473003387,0.18390844762325287,0.003633416024968028,0.0002310847630724311,0.18004395067691803
36.0,0.18146026134490967,0.18326658010482788,0.0034690408501774073,0.0003372764331288636,0.17946025729179382
37.0,0.18085336685180664,0.18268895149230957,0.003361218608915806,0.00047437447938136756,0.1788533627986908
38.0,0.1802261769771576,0.18216435611248016,0.0032965957652777433,0.0006415813695639372,0.17822617292404175
39.0,0.17958034574985504,0.1816820651292801,0.0032635568641126156,0.0008381707593798637,0.1775803416967392
40.0,0.1789158433675766,0.18123160302639008,0.0032519351225346327,0.0010638275416567922,0.17691583931446075
41.0,0.1782308667898178,0.18080256879329681,0.0032527190633118153,0.0013189929304644465,0.17623086273670197
42.0,0.1775212585926056,0.18038465082645416,0.0032583586871623993,0.0016050435369834304,0.17552125453948975
43.0,0.1767818182706833,0.17996762692928314,0.003260902361944318,0.0019249124452471733,0.17478181421756744
44.0,0.17600230872631073,0.17954140901565552,0.0032583053689450026,0.002280794782564044,0.17400230467319489
45.0,0.17517855763435364,0.1790943294763565,0.003226755652576685,0.0026890200097113848,0.1731785535812378
46.0,0.17410078644752502,0.17856250703334808,0.0032517716754227877,0.003209949005395174,0.17210078239440918
47.0,0.17311261594295502,0.1780775636434555,0.003197037149220705,0.0037679169327020645,0.17111261188983917
48.0,0.17222169041633606,0.17764848470687866,0.0031519723124802113,0.004274831619113684,0.17022168636322021
49.0,0.17129169404506683,0.1771717220544815,0.00305291754193604,0.004827112425118685,0.169291689991951
50.0,0.1702595204114914,0.17663684487342834,0.0029400114435702562,0.005437321495264769,0.16825951635837555
51.0,0.16916783154010773,0.176035076379776,0.002772164298221469,0.006095077842473984,0.16716782748699188
52.0,0.16795720160007477,0.17535801231861115,0.0025897729210555553,0.006811046041548252,0.16595719754695892
53.0,0.16668102145195007,0.17459559440612793,0.002352478913962841,0.007562095299363136,0.16468101739883423
54.0,0.16525687277317047,0.1737442910671234,0.002119962126016617,0.008367455564439297,0.16325686872005463
55.0,0.16377341747283936,0.1727903187274933,0.0018374306382611394,0.009179478511214256,0.1617734134197235
