iter,mu,Loss_mu,Loss,Loss_f,Loss_BC
1.0,0.800000011920929,0.7200000286102295,0.7200333476066589,1.845514270826243e-05,1.4887460565660149e-05
2.0,0.7042772769927979,0.6242772936820984,0.6878127455711365,0.06351498514413834,2.044621214736253e-05
3.0,0.6986872553825378,0.6186872720718384,0.6806700229644775,0.06193036586046219,5.2356062951730564e-05
4.0,0.6981351971626282,0.6181352138519287,0.677688717842102,0.05948544293642044,6.803642463637516e-05
5.0,0.696952223777771,0.6169522404670715,0.6738616228103638,0.05681983008980751,8.953910582931712e-05
6.0,0.6950077414512634,0.615007758140564,0.6696323156356812,0.05450907349586487,0.00011550538329174742
7.0,0.6922890543937683,0.6122890710830688,0.6651821732521057,0.05274767428636551,0.0001454210141673684
8.0,0.6888671517372131,0.6088671684265137,0.6606485247612,0.05160242319107056,0.0001789177767932415
9.0,0.684848964214325,0.6048489809036255,0.6561089158058167,0.051043782383203506,0.00021613996068481356
10.0,0.6803423762321472,0.6003423929214478,0.6515825986862183,0.050982214510440826,0.00025796942645683885
11.0,0.6754392981529236,0.5954393148422241,0.6470499038696289,0.051304712891578674,0.0003058862639591098
12.0,0.6702283024787903,0.5902283191680908,0.642493486404419,0.051903944462537766,0.00036124500911682844
13.0,0.6648260951042175,0.5848261117935181,0.6379374861717224,0.052687231451272964,0.0004241665592417121
14.0,0.659386932849884,0.5793869495391846,0.6334506273269653,0.05357078090310097,0.0004928947892040014
15.0,0.6540672779083252,0.5740672945976257,0.6291131973266602,0.054481878876686096,0.0005640187300741673
16.0,0.6489798426628113,0.5689798593521118,0.6249856352806091,0.05537281557917595,0.0006329512689262629
17.0,0.644169807434082,0.5641698241233826,0.6210914850234985,0.056226976215839386,0.0006947083165869117
18.0,0.6396143436431885,0.559614360332489,0.6174163818359375,0.05705709382891655,0.000744930817745626
19.0,0.6352407336235046,0.5552407503128052,0.6139166355133057,0.05789509043097496,0.000780826318077743
20.0,0.6309646964073181,0.5509647130966187,0.6105312705039978,0.058764442801475525,0.0008021052926778793
21.0,0.6266822218894958,0.5466822385787964,0.607196033000946,0.059702903032302856,0.000810866302344948
22.0,0.622342586517334,0.5423426032066345,0.6038442850112915,0.06069023907184601,0.0008114438969641924
23.0,0.6177977323532104,0.537797749042511,0.6004173159599304,0.061810798943042755,0.0008087704773060977
24.0,0.6131739616394043,0.5331739783287048,0.5968369841575623,0.06285259872674942,0.000810422352515161
25.0,0.607853889465332,0.5278539061546326,0.593064546585083,0.06439043581485748,0.0008201948367059231
26.0,0.6035214066505432,0.5235214233398438,0.5888667702674866,0.06448599696159363,0.0008593391394242644
27.0,0.5954604744911194,0.5154604911804199,0.5842282772064209,0.06783243268728256,0.0009353236528113484
28.0,0.5920346975326538,0.5120347142219543,0.5781529545783997,0.0650191605091095,0.0010990567971020937
29.0,0.5844706296920776,0.5044706463813782,0.5734649896621704,0.06769955903291702,0.0012947951909154654
30.0,0.5772587060928345,0.497258722782135,0.5681442022323608,0.06936802715063095,0.0015174211002886295
31.0,0.5676873922348022,0.4876874089241028,0.5609284043312073,0.07125936448574066,0.0019816402345895767
32.0,0.55648273229599,0.4764827489852905,0.5513917803764343,0.07207820564508438,0.0028308080509305
33.0,0.5440413951873779,0.46404141187667847,0.5404043793678284,0.0720612108707428,0.004301745910197496
34.0,0.5336247086524963,0.4536247253417969,0.5306363701820374,0.07090072333812714,0.0061109112575650215
35.0,0.5244293212890625,0.44442933797836304,0.5220250487327576,0.06961981952190399,0.007975910790264606
36.0,0.5147976875305176,0.4347977042198181,0.5124340653419495,0.06801958382129669,0.009616764262318611
37.0,0.4996809661388397,0.41968095302581787,0.4960854947566986,0.06696093082427979,0.009443619288504124
38.0,0.48296213150024414,0.4029621481895447,0.47056159377098083,0.059286199510097504,0.008313245140016079
39.0,0.44399794936180115,0.3639979362487793,0.44095733761787415,0.07073040306568146,0.006228992715477943
40.0,0.4361930787563324,0.35619306564331055,0.4296521246433258,0.06772006303071976,0.00573898758739233
41.0,0.43262138962745667,0.3526213765144348,0.4227929711341858,0.06475313752889633,0.005418442655354738
42.0,0.4287368953227997,0.34873688220977783,0.4162403643131256,0.062246330082416534,0.005257157143205404
43.0,0.424783319234848,0.34478330612182617,0.4090801179409027,0.05911398306488991,0.0051828352734446526
44.0,0.4196998178958893,0.33969980478286743,0.40085911750793457,0.056104376912117004,0.0050549497827887535
45.0,0.4135119318962097,0.33351194858551025,0.3908863067626953,0.05211323872208595,0.005261102691292763
46.0,0.4052862226963043,0.32528620958328247,0.37919268012046814,0.04938877746462822,0.00451769819483161
47.0,0.39831387996673584,0.3183138966560364,0.3682399392127991,0.04578628018498421,0.004139773081988096
48.0,0.3878004252910614,0.30780041217803955,0.35693594813346863,0.044780515134334564,0.00435502827167511
49.0,0.3801896572113037,0.30018967390060425,0.34406134486198425,0.04038364440202713,0.003488025162369013
50.0,0.37132319808006287,0.291323184967041,0.3351724445819855,0.04052779823541641,0.0033214588183909655
51.0,0.3651575744152069,0.28515756130218506,0.32749712467193604,0.03917014226317406,0.0031694043427705765
52.0,0.3591200113296509,0.2791200280189514,0.32135558128356934,0.039027225226163864,0.0032083415426313877
53.0,0.3528006076812744,0.27280062437057495,0.3146633505821228,0.0387575700879097,0.0031051519326865673
54.0,0.34836524724960327,0.2683652639389038,0.309481680393219,0.03801645338535309,0.0030999737791717052
55.0,0.34292781352996826,0.2629278302192688,0.30457478761672974,0.03863268345594406,0.003014259273186326
56.0,0.33808714151382446,0.258087158203125,0.2988901436328888,0.037644293159246445,0.0031586913391947746
